SkillId	Category	Name	Cost	RecoveryUnits	RecoveryMode
169	Ability	Acid Sneeze	2	1	Explicit
170	Ability	Spiral Shell	2	1	Explicit
171	Ability	Granite Punch	5	1	Explicit
172	Ability	Devitalize	2	0	Explicit
173	Ability	Poltergeist	3	1	Explicit
174	Ability	Reaper's Scythe	3	1	Explicit
177	Ability	Giga Rush	5	2	Explicit
178	Ability	Aqua Bubble	3	1	Explicit
179	Ability	Poison Sneeze	2	1	Explicit
180	Ability	Acrid Ooze	2	1	Explicit
181	Ability	Bloody Sin	15	1	Explicit
182	Ability	Last Ascension	5	1	Explicit
184	Break Art	Whistle Sting	25	0	Explicit
185	Break Art	Shadoweave	40	0	Explicit
186	Break Art	Double Fang	55	0	Explicit
187	Break Art	Wyrm Scorn	75	0	Explicit
188	Break Art	Rending Gale	25	0	Explicit
189	Break Art	Vile Scar	40	0	Explicit
190	Break Art	Cherry Ronde	55	0	Explicit
191	Break Art	Papillon Reel	75	0	Explicit
192	Break Art	Sunder	25	0	Explicit
193	Break Art	Thunderwave	40	0	Explicit
194	Break Art	Swallow Slash	55	0	Explicit
195	Break Art	Advent Sign	75	0	Explicit
196	Break Art	Mistral Edge	25	0	Explicit
197	Break Art	Glacial Gale	40	0	Explicit
198	Break Art	Killer Mantis	55	0	Explicit
199	Break Art	Black Nebula	75	0	Explicit
200	Break Art	Bear Claw	25	0	Explicit
201	Break Art	Accursed Umbra	40	0	Explicit
202	Break Art	Iron Ripper	55	0	Explicit
203	Break Art	Emetic Bomb	75	0	Explicit
204	Break Art	Sirocco	25	0	Explicit
205	Break Art	Riskbreak	40	0	Explicit
206	Break Art	Gravis Aether	55	0	Explicit
207	Break Art	Trinity Pulse	75	0	Explicit
208	Break Art	Bonecrusher	25	0	Explicit
209	Break Art	Quickshock	40	0	Explicit
210	Break Art	Ignis Wheel	55	0	Explicit
211	Break Art	Hex Flux	75	0	Explicit
212	Break Art	Ruination	25	0	Explicit
213	Break Art	Scythe Wind	40	0	Explicit
214	Break Art	Giga Tempest	55	0	Explicit
215	Break Art	Spiral Scourge	75	0	Explicit
216	Break Art	Brimstone Hail	25	0	Explicit
217	Break Art	Heaven's Scorn	40	0	Explicit
218	Break Art	Death Wail	55	0	Explicit
219	Break Art	Sanctus Flare	75	0	Explicit
220	Break Art	Lotus Palm	25	0	Explicit
221	Break Art	Vertigo	40	0	Explicit
222	Break Art	Vermillion Aura	55	0	Explicit
223	Break Art	Retribution	75	0	Explicit
